Name,Price,VC,Cover Art,URL
Bomb Monkey,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bomb-monkey-3ds/boxart,www.nintendo.com/games/detail/bomb-monkey-3ds/
Bonds of the Skies,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bonds-of-the-skies-3ds/boxart,www.nintendo.com/games/detail/bonds-of-the-skies-3ds/
Boulder Dash-XL 3D,, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/boulder-dash-xl-3d-3ds/boxart,www.nintendo.com/games/detail/boulder-dash-xl-3d-3ds/
BOX UP,1.49, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/box-up-3ds/boxart,www.nintendo.com/games/detail/box-up-3ds/
BOXBOXBOY!,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/boxboxboy-3ds/boxart,www.nintendo.com/games/detail/boxboxboy-3ds/
BOXBOY!,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/boxboy-3ds/boxart,www.nintendo.com/games/detail/boxboy-3ds/
Boxzle,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/boxzle-3ds/boxart,www.nintendo.com/games/detail/boxzle-3ds/
Brave Dungeon,5, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/brave-dungeon-3ds/boxart,www.nintendo.com/games/detail/brave-dungeon-3ds/
Brave Tank Hero,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/brave-tank-hero-3ds/boxart,www.nintendo.com/games/detail/brave-tank-hero-3ds/
BREATH OF FIRE,7.99,Super NES,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/breath-of-fire-3ds/boxart,www.nintendo.com/games/detail/breath-of-fire-3ds/
Breath of Fire II,7.99,Super NES,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/breath-of-fire-ii-3ds/boxart,www.nintendo.com/games/detail/breath-of-fire-ii-3ds/
BRICK RACE,1.49, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/brick-race-3ds/boxart,www.nintendo.com/games/detail/brick-race-3ds/
BRICK THRU,1.49, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/brick-thru-3ds/boxart,www.nintendo.com/games/detail/brick-thru-3ds/
Bricks Defender,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bricks-defender-3ds/boxart,www.nintendo.com/games/detail/bricks-defender-3ds/
Bricks Defender 2,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bricks-defender-2-3ds/boxart,www.nintendo.com/games/detail/bricks-defender-2-3ds/
Bricks Defender 3,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bricks-defender-3-3ds/boxart,www.nintendo.com/games/detail/bricks-defender-3-3ds/
Bricks Defender 4,9.99, , ,www.nintendo.com/games/detail/bricks-defender-4-3ds/
Bricks Defender V,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bricks-defender-v-3ds/boxart,www.nintendo.com/games/detail/bricks-defender-v-3ds/
